data_set, features, training_size, testing_size, shots, classical_ml_training_accuracy, classical_ml_testing_accuracy, aer_balanced_accuracy, aer_f1_score 
0,3,80,20,1000,0.8,0.65,0.5656565656565656,0.5428571428571429
0,3,40,10,1000,0.775,0.8,0.8,0.7916666666666667
0,3,80,20,1000,0.8125,0.75,0.75,0.7333333333333333
0,3,80,20,1000,0.7375,0.9,0.9,0.898989898989899
0,3,80,20,1000,0.7875,0.9,0.75,0.7493734335839599
0,3,80,20,1000,0.6625,0.7,0.5,0.5
0,3,40,10,1000,0.625,0.6,0.7083333333333333,0.7030303030303029
0,3,40,10,1000,0.775,0.6,0.6190476190476191,0.6166666666666666
0,3,40,10,1000,0.7,0.6,0.8,0.7916666666666667
0,3,40,10,1000,0.675,0.5,0.3,0.23076923076923078
0,3,40,10,1000,0.8,0.8,0.8125,0.7296703296703297
0,3,40,10,1000,0.725,0.8,0.5833333333333333,0.6
0,3,40,10,1000,0.8,0.9,0.9,0.898989898989899
0,3,40,10,1000,0.775,0.8,0.5,0.711111111111111
0,3,40,10,1000,0.75,0.7,0.8,0.8
0,3,40,10,1000,0.7,0.3,0.75,0.6333333333333333
0,3,40,10,1000,0.625,0.5,0.8,0.8
0,3,40,10,1000,0.8,0.7,0.8,0.7916666666666667
0,3,40,10,1000,0.75,0.7,0.8,0.7916666666666667
0,3,40,10,1000,0.75,0.7,0.6,0.5238095238095238
0,3,40,10,1000,0.75,0.5,0.7142857142857143,0.6
0,3,40,10,1000,0.7,0.7,0.5416666666666666,0.48484848484848475
0,3,40,10,1000,0.85,0.6,0.7,0.6703296703296703
0,3,40,10,1000,0.7,0.7,0.6666666666666666,0.7625
0,3,40,10,1000,0.825,0.8,0.75,0.7809523809523808
0,3,40,10,1000,0.725,0.8,0.6666666666666667,0.6901098901098901
0,3,40,10,1000,0.825,0.7,0.625,0.64
0,3,40,10,1000,0.725,0.8,0.75,0.7809523809523808
0,3,40,10,1000,0.775,0.6,0.6666666666666666,0.5666666666666667
0,3,40,10,1000,0.775,0.6,0.5416666666666666,0.48484848484848475
0,3,40,10,1000,0.6,0.7,0.6,0.6
0,3,40,10,1000,0.625,0.6,0.7857142857142857,0.7090909090909091
0,3,40,10,1000,0.725,0.7,0.8125,0.7296703296703297
0,3,40,10,1000,0.775,0.4,0.6666666666666666,0.5666666666666667
0,3,40,10,1000,0.725,0.4,0.7222222222222222,0.5824175824175823
0,3,40,10,1000,0.7,0.7,0.6428571428571428,0.47474747474747475
0,3,40,10,1000,0.725,0.5,0.375,0.4
0,3,20,5,1000,0.65,0.6,0.5833333333333333,0.6
0,3,20,5,1000,0.65,0.4,0.6666666666666666,0.5666666666666667
0,3,20,5,1000,0.7,0.2,0.625,0.4
0,3,20,5,1000,0.65,0.6,0.75,0.7809523809523808
0,3,20,5,1000,0.7,0.6,0.75,0.7809523809523808
0,3,20,5,1000,0.65,0.6,0.8333333333333333,0.8
0,3,20,5,1000,0.7,1.0,0.6666666666666666,0.5666666666666667
0,3,20,5,1000,0.6,0.4,0.6666666666666666,0.5666666666666667
0,3,20,5,1000,0.75,0.4,0.25,0.13333333333333333
0,3,20,5,1000,0.6,0.6,0.5,0.45
0,3,20,5,1000,0.9,0.4,0.5833333333333333,0.6
0,3,20,5,1000,0.7,0.8,1.0,1.0
0,3,20,5,1000,0.7,0.8,1.0,1.0
0,3,20,5,1000,0.8,1.0,0.75,0.6333333333333333
0,3,20,5,1000,0.8,0.6,0.6666666666666666,0.5666666666666667
0,3,20,5,1000,0.65,0.4,0.6666666666666666,0.5666666666666667
0,3,20,5,1000,0.65,0.8,0.25,0.45714285714285713
0,3,20,5,1000,0.65,0.6,0.5833333333333333,0.6
0,3,20,5,1000,0.6,0.8,0.625,0.4
0,3,20,5,1000,0.7,0.6,0.8333333333333333,0.8
0,3,20,5,1000,0.7,0.2,0.75,0.6333333333333333
0,3,20,5,1000,0.8,0.4,0.2,0.3333333333333333
0,3,20,5,1000,0.9,0.8,0.8333333333333333,0.8
0,3,20,5,1000,0.85,0.8,0.8333333333333333,0.8
0,3,20,5,1000,0.6,0.6,1.0,1.0
0,3,20,5,1000,0.8,1.0,0.625,0.4
0,3,20,5,1000,0.6,0.8,0.625,0.4
0,3,20,5,1000,0.6,0.8,0.5,0.711111111111111
0,3,20,5,1000,0.75,0.6,0.5,0.45
0,3,20,5,500,0.75,0.8,0.75,0.6333333333333333
0,3,20,5,500,0.8,0.6,0.6666666666666666,0.5666666666666667
0,3,20,5,500,0.85,0.8,0.5,0.45
0,3,20,5,500,0.8,0.6,0.375,0.6
0,3,20,5,500,0.7,0.8,1.0,1.0
0,3,20,5,500,0.7,0.6,0.375,0.6
0,3,20,5,500,0.75,0.8,0.6666666666666666,0.5666666666666667
0,3,20,5,500,0.7,0.4,0.25,0.13333333333333333
0,3,20,5,500,0.65,0.8,0.8333333333333333,0.8
0,3,20,5,500,0.7,0.8,0.875,0.819047619047619
0,3,20,5,500,0.75,0.4,0.5833333333333333,0.6
0,3,20,5,500,0.85,0.6,0.875,0.819047619047619
0,3,20,5,500,0.65,0.4,0.5,0.22857142857142856
0,3,20,5,500,0.7,0.4,0.8333333333333333,0.8
0,3,20,5,500,0.55,1.0,0.8,0.888888888888889
0,3,20,5,500,0.7,0.4,0.8333333333333333,0.8
0,3,20,5,500,0.65,0.8,0.8333333333333333,0.8
0,3,20,5,500,0.6,0.2,0.375,0.6
0,3,20,5,500,0.7,0.4,0.6,0.75
0,3,20,5,500,0.8,0.6,0.6666666666666666,0.5666666666666667
0,3,20,5,500,0.65,0.6,0.6666666666666666,0.5666666666666667
0,3,20,5,500,0.8,0.2,0.75,0.6333333333333333
0,3,20,5,500,0.9,0.6,0.6666666666666666,0.5666666666666667
0,3,20,5,500,0.85,0.4,0.6666666666666666,0.5666666666666667
0,3,20,5,500,0.7,0.6,0.25,0.45714285714285713
0,3,20,5,500,0.8,0.4,0.3333333333333333,0.34285714285714286
0,3,20,5,100,0.8,0.6,0.8333333333333333,0.8
0,3,20,5,100,0.8,0.6,0.5,0.45
0,3,20,5,100,0.85,0.8,0.41666666666666663,0.4
0,3,20,5,100,0.65,0.8,0.75,0.7809523809523808
0,3,20,5,100,0.8,0.6,0.5833333333333333,0.6
0,3,20,5,100,0.65,0.6,0.41666666666666663,0.4
0,3,20,5,100,0.65,0.6,0.5,0.45
0,3,20,5,100,0.85,0.6,0.6666666666666666,0.5666666666666667
0,3,20,5,100,0.7,0.4,0.41666666666666663,0.4
0,3,20,5,100,0.7,0.6,0.5833333333333333,0.6
0,3,20,5,100,0.65,0.4,0.5,0.22857142857142856
0,3,20,5,100,0.7,0.4,0.6666666666666666,0.5666666666666667
0,3,20,5,100,0.75,1.0,1.0,1.0
0,3,20,5,100,0.55,0.4,0.3333333333333333,0.34285714285714286
0,3,20,5,100,0.8,0.2,0.5,0.45
0,3,20,5,100,0.65,0.0,0.5,0.06666666666666667
0,3,20,5,100,0.65,0.0,0.2,0.3333333333333333
0,3,20,5,100,0.55,0.2,0.8333333333333333,0.8
0,3,20,5,100,0.7,0.6,0.5833333333333333,0.6
0,3,20,5,100,0.65,0.8,0.8333333333333333,0.8
0,3,20,5,100,0.8,0.6,0.6666666666666666,0.5666666666666667
0,3,20,5,100,0.6,0.4,1.0,1.0
0,3,20,5,100,0.7,0.6,0.5,0.45
0,3,20,5,100,0.7,0.6,0.5833333333333333,0.6
0,3,20,5,100,0.65,0.2,0.75,0.6333333333333333
0,3,160,40,1000,0.79375,0.7,0.8125,0.7737335834896811
0,3,160,40,1000,0.7875,0.775,0.75,0.7113475177304964
0,3,160,40,1000,0.7875,0.775,0.6994884910485933,0.7147734956051386
0,5,80,20,1000,0.7875,0.95,0.9545454545454546,0.9501253132832079
0,5,80,20,1000,0.8125,0.75,0.8,0.7979797979797979
